# xrslam-regression report v2
M allow_unpaced 0
M build_dir /tmp/xrreg/post_mobile
M config_from_string 1
M host KaidongdeMacBook-Pro.local
M lib /tmp/xrreg/post_mobile/xrslam-interface/libxrslam.dylib
M lib_sha256 33c6601fbbb1246f041968383fba2fb4caae4b80b3a3802b1cf1a04189d7f656
M lib_threading 1
M lib_version xrslam v0.5.0
M max_frames 160
M opt_inspection 1
M opt_lowlatency 1
M opt_threading 1
M pace 1
M python 3.14.7
M sensor_config sensor.yaml
M seq synth://
M settle_ms 200.0
M slam_config slam.yaml
M src_source synth
M src_synth_accel_bias (0.0, 0.0, 0.0)
M src_synth_accel_noise 0
M src_synth_bg_high 78
M src_synth_bg_low 40
M src_synth_blob_peak 240
M src_synth_blob_radius 3
M src_synth_blob_sigma 1.25
M src_synth_cam_rate 20
M src_synth_cx 376
M src_synth_cy 240
M src_synth_duration 12
M src_synth_fx 460
M src_synth_fy 460
M src_synth_gyro_bias (0.0, 0.0, 0.0)
M src_synth_gyro_noise 0
M src_synth_height 480
M src_synth_imu_rate 200
M src_synth_imu_scale 1
M src_synth_imu_seed 12345
M src_synth_num_landmarks 400
M src_synth_seed 20260823
M src_synth_t0 100
M src_synth_width 752
M tag run#0
M tool pw_tools/regression
M wall_start 1787425064.710
C idx frame_ts pose_ts state landmarks fusion_total qx qy qz qw tx ty tz push_rc lm_rc ms det_kp trk_kp inl_kp mapped_lm lm_published lm_usable core_seq core_imu degen settled
F 28 101.425000000 101.425000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 1.758 167 167 171 -1 0 0 28 10 1 1
F 29 101.475000000 101.475000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.051 168 166 167 -1 0 0 29 10 1 1
F 30 101.525000000 101.525000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.793 167 166 168 -1 0 0 30 10 1 1
F 31 101.575000000 101.575000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 200.454 167 164 167 -1 0 0 31 10 1 0
F 32 101.625000000 101.625000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.906 165 164 167 -1 0 0 32 10 1 1
F 33 101.675000000 101.675000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 200.682 164 162 165 -1 0 0 33 10 1 0
F 34 101.725000000 101.725000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 1.666 164 161 164 -1 0 0 34 10 1 1
F 35 101.775000000 101.775000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.057 165 163 164 -1 0 0 35 10 1 1
F 36 101.825000000 101.825000000 1 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 200.500 166 163 165 -1 0 0 36 10 1 0
F 37 101.875000000 101.875000000 1 0 0 -0.696363 -0.053105 0.007102 0.715687 -0.415838 0.081114 -0.034746 0 0 0.815 167 166 166 -1 0 0 37 10 0 1
F 38 101.925000000 101.925000000 1 0 229 -0.694289 -0.051360 0.005699 0.717838 -0.387339 0.079419 -0.042741 0 0 0.791 165 163 167 156 0 0 38 10 0 1
F 39 101.975000000 101.975000000 1 0 229 -0.692278 -0.049264 0.004330 0.719934 -0.357409 0.077562 -0.051136 0 0 0.782 166 161 165 156 0 0 39 10 0 1
F 40 102.025000000 102.025000000 1 0 229 -0.690351 -0.046794 0.002989 0.721954 -0.326389 0.075455 -0.059853 0 0 0.777 166 162 166 156 0 0 40 10 0 1
F 41 102.075000000 102.075000000 1 0 227 -0.688504 -0.044024 0.001651 0.723893 -0.295095 0.073496 -0.068845 0 0 0.788 166 160 166 162 0 0 41 10 0 1
F 42 102.125000000 102.125000000 1 0 227 -0.686756 -0.040978 0.000411 0.725732 -0.260605 0.070677 -0.077992 0 0 1.350 169 162 166 162 0 0 42 10 0 1
F 43 102.175000000 102.175000000 1 0 207 -0.685089 -0.037613 -0.000791 0.727487 -0.225426 0.067841 -0.087674 0 0 200.159 170 167 169 157 0 0 43 10 0 0
F 44 102.225000000 102.225000000 1 0 207 -0.683593 -0.033931 -0.001892 0.729071 -0.165488 0.056843 -0.086465 0 0 0.814 169 165 170 157 0 0 44 10 0 1
F 45 102.275000000 102.275000000 1 0 205 -0.682137 -0.030051 -0.003015 0.730600 -0.132462 0.054505 -0.095348 0 0 0.781 172 163 169 159 0 0 45 10 0 1
F 46 102.325000000 102.325000000 1 0 205 -0.680815 -0.025950 -0.004106 0.731984 -0.098768 0.051941 -0.104194 0 0 0.777 173 167 172 159 0 0 46 10 0 1
F 47 102.375000000 102.375000000 1 0 205 -0.679599 -0.021635 -0.005153 0.733247 -0.064331 0.049199 -0.113343 0 0 0.780 171 167 173 159 0 0 47 10 0 1
F 48 102.425000000 102.425000000 1 0 201 -0.678504 -0.017085 -0.006236 0.734371 -0.030318 0.046616 -0.122542 0 0 0.778 169 166 171 157 0 0 48 10 0 1
F 49 102.475000000 102.475000000 1 0 201 -0.677545 -0.012285 -0.007329 0.735342 0.002654 0.044206 -0.132084 0 0 0.776 164 159 169 157 0 0 49 10 0 1
F 50 102.525000000 102.525000000 1 0 201 -0.676715 -0.007219 -0.008468 0.736161 0.034858 0.041433 -0.141283 0 0 0.796 165 155 164 157 0 0 50 10 0 1
F 51 102.575000000 102.575000000 1 0 201 -0.676002 -0.002196 -0.009525 0.736835 0.069019 0.038723 -0.150518 0 0 0.710 165 157 165 157 0 0 51 10 0 1
F 52 102.625000000 102.625000000 1 0 201 -0.675422 0.002832 -0.010525 0.737351 0.104658 0.035999 -0.159922 0 0 0.771 170 159 165 157 0 0 52 10 0 1
F 53 102.675000000 102.675000000 1 0 201 -0.674984 0.007996 -0.011594 0.737698 0.139099 0.032997 -0.169111 0 0 0.775 170 160 170 157 0 0 53 10 0 1
F 54 102.725000000 102.725000000 1 0 201 -0.674652 0.013207 -0.012625 0.737910 0.173493 0.029938 -0.178590 0 0 0.695 172 163 170 157 0 0 54 10 0 1
F 55 102.775000000 102.775000000 1 0 201 -0.674461 0.018545 -0.013751 0.737949 0.206058 0.026824 -0.187894 0 0 0.773 170 165 172 157 0 0 55 10 0 1
F 56 102.825000000 102.825000000 1 0 201 -0.674412 0.023853 -0.014922 0.737819 0.238288 0.023829 -0.196919 0 0 0.774 175 163 170 157 0 0 56 10 0 1
F 57 102.875000000 102.875000000 1 0 201 -0.674471 0.029164 -0.016161 0.737548 0.269441 0.020958 -0.206334 0 0 0.772 178 169 175 157 0 0 57 10 0 1
F 58 102.925000000 102.925000000 1 0 201 -0.674691 0.034492 -0.017487 0.737087 0.299071 0.018598 -0.215094 0 0 0.773 175 171 178 157 0 0 58 10 0 1
F 59 102.975000000 102.975000000 1 0 201 -0.675017 0.039804 -0.018885 0.736485 0.327068 0.015745 -0.224130 0 0 0.773 175 166 175 157 0 0 59 10 0 1
F 60 103.025000000 103.025000000 1 0 201 -0.675480 0.045002 -0.020339 0.735722 0.354465 0.013071 -0.233248 0 0 0.772 177 171 175 157 0 0 60 10 0 1
F 61 103.075000000 103.075000000 1 0 201 -0.676047 0.050072 -0.021861 0.734830 0.381069 0.010108 -0.242712 0 0 0.776 176 172 177 157 0 0 61 10 0 1
F 62 103.125000000 103.125000000 1 0 201 -0.676757 0.055038 -0.023434 0.733772 0.406603 0.007235 -0.251932 0 0 0.774 175 168 176 157 0 0 62 10 0 1
F 63 103.175000000 103.175000000 1 0 201 -0.677569 0.059890 -0.025136 0.732586 0.430052 0.004357 -0.261238 0 0 0.776 181 173 175 157 0 0 63 10 0 1
F 64 103.225000000 103.225000000 1 0 201 -0.678498 0.064595 -0.026992 0.731259 0.451366 0.001701 -0.270514 0 0 0.561 180 176 181 157 0 0 64 10 0 1
